id,isResult,h,a,goals,xG,datetime,forecast,home_id,away_id,home_team,away_team,home_goals,away_goals,home_xg,away_xg,is_draw,home_win,away_win
22275,True,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '0', 'a': '3'}","{'h': '0.311032', 'a': '2.40074'}",2023-08-11 19:00:00,"{'w': '0.0177', 'd': '0.0854', 'l': '0.8969'}",92,88,Burnley,Manchester City,0,3,0.311032,2.40074,False,False,True
22276,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '2', 'a': '1'}","{'h': '0.84262', 'a': '0.966305'}",2023-08-12 11:30:00,"{'w': '0.2797', 'd': '0.3363', 'l': '0.384'}",83,249,Arsenal,Nottingham Forest,2,1,0.84262,0.966305,False,True,False
22277,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '1'}","{'h': '1.51025', 'a': '1.4834'}",2023-08-12 14:00:00,"{'w': '0.3559', 'd': '0.3169', 'l': '0.3272'}",73,81,Bournemouth,West Ham,1,1,1.51025,1.4834,True,False,False
22278,True,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '256', 'title': 'Luton', 'short_title': 'LUT'}","{'h': '4', 'a': '1'}","{'h': '4.36748', 'a': '1.88594'}",2023-08-12 14:00:00,"{'w': '0.879', 'd': '0.0876', 'l': '0.0334'}",220,256,Brighton,Luton,4,1,4.36748,1.88594,False,True,False
22279,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '0', 'a': '1'}","{'h': '2.59001', 'a': '1.58144'}",2023-08-12 14:00:00,"{'w': '0.6371', 'd': '0.1989', 'l': '0.164'}",72,228,Everton,Fulham,0,1,2.59001,1.58144,False,False,True
22280,True,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '0', 'a': '1'}","{'h': '0.422704', 'a': '2.27616'}",2023-08-12 14:00:00,"{'w': '0.0358', 'd': '0.1179', 'l': '0.8463'}",238,78,Sheffield United,Crystal Palace,0,1,0.422704,2.27616,False,False,True
22281,True,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '5', 'a': '1'}","{'h': '4.32208', 'a': '1.486'}",2023-08-12 16:30:00,"{'w': '0.8987', 'd': '0.0665', 'l': '0.0348'}",86,71,Newcastle United,Aston Villa,5,1,4.32208,1.486,False,True,False
22282,True,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '2'}","{'h': '1.90756', 'a': '1.45316'}",2023-08-13 13:00:00,"{'w': '0.4985', 'd': '0.2608', 'l': '0.2407'}",244,82,Brentford,Tottenham,2,2,1.90756,1.45316,True,False,False
22283,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '1'}","{'h': '1.93258', 'a': '1.29994'}",2023-08-13 15:30:00,"{'w': '0.5323', 'd': '0.2472', 'l': '0.2205'}",80,87,Chelsea,Liverpool,1,1,1.93258,1.29994,True,False,False
22284,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '0'}","{'h': '1.97087', 'a': '1.72228'}",2023-08-14 19:00:00,"{'w': '0.4419', 'd': '0.2505', 'l': '0.3076'}",89,229,Manchester United,Wolverhampton Wanderers,1,0,1.97087,1.72228,False,True,False
22285,True,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '2', 'a': '1'}","{'h': '1.37181', 'a': '0.551038'}",2023-08-18 18:45:00,"{'w': '0.5965', 'd': '0.2786', 'l': '0.1249'}",249,238,Nottingham Forest,Sheffield United,2,1,1.37181,0.551038,False,True,False
22286,True,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '4'}","{'h': '2.68821', 'a': '3.15562'}",2023-08-19 14:00:00,"{'w': '0.3046', 'd': '0.2057', 'l': '0.4897'}",229,220,Wolverhampton Wanderers,Brighton,1,4,2.68821,3.15562,False,False,True
22287,True,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '0', 'a': '3'}","{'h': '0.399899', 'a': '3.46888'}",2023-08-19 14:00:00,"{'w': '0.005', 'd': '0.0284', 'l': '0.9666'}",228,244,Fulham,Brentford,0,3,0.399899,3.46888,False,False,True
22288,True,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '3', 'a': '1'}","{'h': '3.25448', 'a': '1.3867'}",2023-08-19 14:00:00,"{'w': '0.8032', 'd': '0.1308', 'l': '0.066'}",87,73,Liverpool,Bournemouth,3,1,3.25448,1.3867,False,True,False
22290,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '0'}","{'h': '2.53904', 'a': '2.44604'}",2023-08-19 16:30:00,"{'w': '0.4211', 'd': '0.2102', 'l': '0.3687'}",82,89,Tottenham,Manchester United,2,0,2.53904,2.44604,False,True,False
22291,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '0'}","{'h': '1.22528', 'a': '0.257154'}",2023-08-19 19:00:00,"{'w': '0.6449', 'd': '0.2857', 'l': '0.0694'}",88,86,Manchester City,Newcastle United,1,0,1.22528,0.257154,False,True,False
22292,True,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '4', 'a': '0'}","{'h': '3.24336', 'a': '0.721465'}",2023-08-20 13:00:00,"{'w': '0.9138', 'd': '0.0655', 'l': '0.0207'}",71,72,Aston Villa,Everton,4,0,3.24336,0.721465,False,True,False
22293,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '3', 'a': '1'}","{'h': '1.71234', 'a': '1.60916'}",2023-08-20 15:30:00,"{'w': '0.3947', 'd': '0.2905', 'l': '0.3148'}",81,80,West Ham,Chelsea,3,1,1.71234,1.60916,False,True,False
22294,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '1'}","{'h': '1.06916', 'a': '2.20593'}",2023-08-21 19:00:00,"{'w': '0.1279', 'd': '0.1973', 'l': '0.6748'}",78,83,Crystal Palace,Arsenal,0,1,1.06916,2.20593,False,False,True
22295,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '256', 'title': 'Luton', 'short_title': 'LUT'}","{'h': '3', 'a': '0'}","{'h': '3.41419', 'a': '0.465741'}",2023-08-25 19:00:00,"{'w': '0.9422', 'd': '0.0473', 'l': '0.0105'}",80,256,Chelsea,Luton,3,0,3.41419,0.465741,False,True,False
22296,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '2'}","{'h': '0.483582', 'a': '2.26115'}",2023-08-26 11:30:00,"{'w': '0.0438', 'd': '0.129', 'l': '0.8272'}",73,82,Bournemouth,Tottenham,0,2,0.483582,2.26115,False,False,True
22297,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '2', 'a': '2'}","{'h': '3.23088', 'a': '0.849817'}",2023-08-26 14:00:00,"{'w': '0.8911', 'd': '0.0845', 'l': '0.0244'}",83,228,Arsenal,Fulham,2,2,3.23088,0.849817,True,False,False
22298,True,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '1'}","{'h': '0.948011', 'a': '1.06061'}",2023-08-26 14:00:00,"{'w': '0.3083', 'd': '0.3264', 'l': '0.3653'}",244,78,Brentford,Crystal Palace,1,1,0.948011,1.06061,True,False,False
22299,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '0', 'a': '1'}","{'h': '1.89792', 'a': '1.40228'}",2023-08-26 14:00:00,"{'w': '0.4943', 'd': '0.2476', 'l': '0.2581'}",72,229,Everton,Wolverhampton Wanderers,0,1,1.89792,1.40228,False,False,True
22300,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '3', 'a': '2'}","{'h': '3.02803', 'a': '0.960354'}",2023-08-26 14:00:00,"{'w': '0.861', 'd': '0.1027', 'l': '0.0363'}",89,249,Manchester United,Nottingham Forest,3,2,3.02803,0.960354,False,True,False
22301,True,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '3'}","{'h': '1.3743', 'a': '2.9527'}",2023-08-26 16:30:00,"{'w': '0.0988', 'd': '0.1413', 'l': '0.7599'}",220,81,Brighton,West Ham,1,3,1.3743,2.9527,False,False,True
22302,True,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '3'}","{'h': '0.630605', 'a': '2.83691'}",2023-08-27 13:00:00,"{'w': '0.0221', 'd': '0.0821', 'l': '0.8958'}",92,71,Burnley,Aston Villa,1,3,0.630605,2.83691,False,False,True
22303,True,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '2'}","{'h': '0.762232', 'a': '3.84804'}",2023-08-27 13:00:00,"{'w': '0.0099', 'd': '0.0443', 'l': '0.9458'}",238,88,Sheffield United,Manchester City,1,2,0.762232,3.84804,False,False,True
22304,True,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '2'}","{'h': '1.62037', 'a': '0.856121'}",2023-08-27 15:30:00,"{'w': '0.5588', 'd': '0.2581', 'l': '0.1831'}",86,87,Newcastle United,Liverpool,1,2,1.62037,0.856121,False,False,True
21925,True,"{'id': '256', 'title': 'Luton', 'short_title': 'LUT'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '2'}","{'h': '2.02244', 'a': '1.22528'}",2023-09-01 19:00:00,"{'w': '0.5814', 'd': '0.2473', 'l': '0.1713'}",256,81,Luton,West Ham,1,2,2.02244,1.22528,False,False,True
21926,True,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '2', 'a': '2'}","{'h': '1.575', 'a': '2.73871'}",2023-09-02 11:30:00,"{'w': '0.1261', 'd': '0.2031', 'l': '0.6708'}",238,72,Sheffield United,Everton,2,2,1.575,2.73871,True,False,False
21927,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '5', 'a': '1'}","{'h': '2.00152', 'a': '1.46427'}",2023-09-02 14:00:00,"{'w': '0.523', 'd': '0.3082', 'l': '0.1688'}",88,228,Manchester City,Fulham,5,1,2.00152,1.46427,False,True,False
21928,True,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '2'}","{'h': '3.07185', 'a': '2.11013'}",2023-09-02 14:00:00,"{'w': '0.5993', 'd': '0.2049', 'l': '0.1958'}",244,73,Brentford,Bournemouth,2,2,3.07185,2.11013,True,False,False
21929,True,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '5'}","{'h': '1.66604', 'a': '2.39785'}",2023-09-02 14:00:00,"{'w': '0.2232', 'd': '0.2163', 'l': '0.5605'}",92,82,Burnley,Tottenham,2,5,1.66604,2.39785,False,False,True
21930,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '0', 'a': '1'}","{'h': '2.28442', 'a': '1.1505'}",2023-09-02 14:00:00,"{'w': '0.6607', 'd': '0.2127', 'l': '0.1266'}",80,249,Chelsea,Nottingham Forest,0,1,2.28442,1.1505,False,False,True
21931,True,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '3', 'a': '1'}","{'h': '1.32258', 'a': '0.90476'}",2023-09-02 16:30:00,"{'w': '0.4762', 'd': '0.3005', 'l': '0.2233'}",220,86,Brighton,Newcastle United,3,1,1.32258,0.90476,False,True,False
21932,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '3', 'a': '2'}","{'h': '2.32935', 'a': '1.13911'}",2023-09-03 13:00:00,"{'w': '0.6847', 'd': '0.1878', 'l': '0.1275'}",78,229,Crystal Palace,Wolverhampton Wanderers,3,2,2.32935,1.13911,False,True,False
21933,True,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '3', 'a': '0'}","{'h': '2.73138', 'a': '0.615503'}",2023-09-03 13:00:00,"{'w': '0.8684', 'd': '0.0998', 'l': '0.0318'}",87,71,Liverpool,Aston Villa,3,0,2.73138,0.615503,False,True,False
21934,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '3', 'a': '1'}","{'h': '1.90973', 'a': '0.966109'}",2023-09-03 15:30:00,"{'w': '0.629', 'd': '0.2273', 'l': '0.1437'}",83,89,Arsenal,Manchester United,3,1,1.90973,0.966109,False,True,False
21935,True,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '1', 'a': '3'}","{'h': '0.538833', 'a': '2.82701'}",2023-09-16 11:30:00,"{'w': '0.0189', 'd': '0.0705', 'l': '0.9106'}",229,87,Wolverhampton Wanderers,Liverpool,1,3,0.538833,2.82701,False,False,True
21936,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '2', 'a': '1'}","{'h': '2.15909', 'a': '0.790655'}",2023-09-16 14:00:00,"{'w': '0.7114', 'd': '0.187', 'l': '0.1016'}",82,238,Tottenham,Sheffield United,2,1,2.15909,0.790655,False,True,False
21937,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '3'}","{'h': '0.895632', 'a': '4.15046'}",2023-09-16 14:00:00,"{'w': '0.0123', 'd': '0.0352', 'l': '0.9525'}",81,88,West Ham,Manchester City,1,3,0.895632,4.15046,False,False,True
21938,True,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '3', 'a': '1'}","{'h': '2.31518', 'a': '1.11696'}",2023-09-16 14:00:00,"{'w': '0.6875', 'd': '0.201', 'l': '0.1115'}",71,78,Aston Villa,Crystal Palace,3,1,2.31518,1.11696,False,True,False
21939,True,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '256', 'title': 'Luton', 'short_title': 'LUT'}","{'h': '1', 'a': '0'}","{'h': '1.75704', 'a': '1.45705'}",2023-09-16 14:00:00,"{'w': '0.4351', 'd': '0.2865', 'l': '0.2784'}",228,256,Fulham,Luton,1,0,1.75704,1.45705,False,True,False
21940,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': '1', 'a': '3'}","{'h': '0.719951', 'a': '1.93908'}",2023-09-16 14:00:00,"{'w': '0.1055', 'd': '0.1835', 'l': '0.711'}",89,220,Manchester United,Brighton,1,3,0.719951,1.93908,False,False,True
21943,True,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '1', 'a': '0'}","{'h': '1.50126', 'a': '0.633678'}",2023-09-16 16:30:00,"{'w': '0.647', 'd': '0.2452', 'l': '0.1078'}",86,244,Newcastle United,Brentford,1,0,1.50126,0.633678,False,True,False
21942,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '0', 'a': '0'}","{'h': '1.32515', 'a': '1.39677'}",2023-09-17 13:00:00,"{'w': '0.348', 'd': '0.2784', 'l': '0.3736'}",73,80,Bournemouth,Chelsea,0,0,1.32515,1.39677,True,False,False
21941,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '1'}","{'h': '0.28317', 'a': '0.802605'}",2023-09-17 15:30:00,"{'w': '0.112', 'd': '0.414', 'l': '0.474'}",72,83,Everton,Arsenal,0,1,0.28317,0.802605,False,False,True
21944,True,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '1', 'a': '1'}","{'h': '0.705795', 'a': '0.807651'}",2023-09-18 18:45:00,"{'w': '0.2724', 'd': '0.3669', 'l': '0.3607'}",249,92,Nottingham Forest,Burnley,1,1,0.705795,0.807651,True,False,False
21945,True,"{'id': '256', 'title': 'Luton', 'short_title': 'LUT'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '1'}","{'h': '2.24101', 'a': '0.762984'}",2023-09-23 14:00:00,"{'w': '0.7771', 'd': '0.1815', 'l': '0.0414'}",256,229,Luton,Wolverhampton Wanderers,1,1,2.24101,0.762984,True,False,False
21946,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'h': '2', 'a': '0'}","{'h': '1.33984', 'a': '0.729109'}",2023-09-23 14:00:00,"{'w': '0.5453', 'd': '0.2792', 'l': '0.1755'}",88,249,Manchester City,Nottingham Forest,2,0,1.33984,0.729109,False,True,False
21948,True,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '0', 'a': '0'}","{'h': '0.37236', 'a': '0.542678'}",2023-09-23 14:00:00,"{'w': '0.1986', 'd': '0.488', 'l': '0.3134'}",78,228,Crystal Palace,Fulham,0,0,0.37236,0.542678,True,False,False
21949,True,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '3'}","{'h': '1.57402', 'a': '2.51497'}",2023-09-23 16:30:00,"{'w': '0.1704', 'd': '0.2246', 'l': '0.605'}",244,72,Brentford,Everton,1,3,1.57402,2.51497,False,False,True
